epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.828,1.44603,3.30832,0.0087,0.66342,0.53486,0.58503,0.40231,1.08146,1.60791,0.01464,0.000475577,0.000475577,0.000475577
2,254.073,1.4638,2.01283,0.00939,0.68065,0.61131,0.67636,0.46208,1.13396,1.30196,0.01626,0.000940131,0.000940131,0.000940131
3,363.133,1.47848,1.71414,0.00953,0.72741,0.62312,0.69029,0.45247,1.2374,1.31877,0.0191,0.00139289,0.00139289,0.00139289
4,471.743,1.45943,1.58807,0.00968,0.73549,0.61884,0.69453,0.46668,1.19289,1.32605,0.01709,0.00137595,0.00137595,0.00137595
5,582.592,1.43621,1.49837,0.0096,0.76537,0.68363,0.76792,0.53464,1.0933,1.06774,0.01601,0.00135826,0.00135826,0.00135826
6,692.011,1.42237,1.41647,0.00915,0.77768,0.71004,0.78401,0.53528,1.1548,1.04952,0.01744,0.00134058,0.00134058,0.00134058
7,800.972,1.39296,1.36492,0.00895,0.80866,0.72145,0.80205,0.55847,1.07992,1.0043,0.0157,0.0013229,0.0013229,0.0013229
8,909.033,1.37576,1.30674,0.00882,0.80175,0.68385,0.77359,0.53694,1.10364,1.03132,0.01736,0.00130521,0.00130521,0.00130521
9,1017.82,1.36657,1.27813,0.00869,0.80098,0.70216,0.78355,0.56823,1.04172,1.00056,0.01439,0.00128753,0.00128753,0.00128753
10,1124.15,1.34563,1.25695,0.00879,0.84248,0.73551,0.82361,0.58894,1.0357,0.90078,0.01484,0.00126985,0.00126985,0.00126985
11,1231.87,1.34966,1.24046,0.0086,0.84204,0.74318,0.82831,0.5936,1.01012,0.9097,0.01431,0.00125216,0.00125216,0.00125216
12,1338.69,1.34509,1.1985,0.00855,0.85087,0.72805,0.8239,0.58816,1.03571,0.89524,0.01487,0.00123448,0.00123448,0.00123448
